match_no,group_id,group_name,match,team_id1,team_id2,date
M01,1,Group A,France VS Romania,2,3,10-Jun
M02,1,Group A,Albania VS Switzerland,1,4,11-Jun
M03,2,Group B,Wales VS Slovakia,7,8,11-Jun
M04,2,Group B,England VS Russia,5,6,11-Jun
M05,4,Group D,Turkey VS Croatia,15,14,12-Jun
M06,3,Group C,Poland VS Northern Ireland,9,12,12-Jun
M07,3,Group C,Germany VS Ukraine,10,11,12-Jun
M08,4,Group D,Spain VS Czech Republic,13,16,13-Jun
M09,5,Group E,Republic of Ireland VS Sweden,20,19,13-Jun
M10,5,Group E,Belgium VS Italy,17,18,13-Jun
M11,6,Group F,Austria VS Hungary,22,24,14-Jun
M12,6,Group F,Portugal VS Iceland,21,23,14-Jun
M13,2,Group B,Russia VS Slovakia,6,8,15-Jun
M14,1,Group A,Romania VS Switzerland,3,4,15-Jun
M15,1,Group A,France VS Albania,2,1,15-Jun
M16,2,Group B,England VS Wales,5,7,16-Jun
M17,3,Group C,Ukraine VS Northern Ireland,11,12,16-Jun
M18,3,Group C,Germany VS Poland,10,9,16-Jun
M19,5,Group E,Italy VS Sweden,18,19,17-Jun
M20,4,Group D,Czech Republic VS Croatia,16,14,17-Jun
M21,4,Group D,Spain VS Turkey,13,15,17-Jun
M22,5,Group E,Belgium VS Republic of Ireland,17,20,18-Jun
M23,6,Group F,Iceland VS Hungary,23,24,18-Jun
M24,6,Group F,Portugal VS Austria,21,22,18-Jun
M25,1,Group A,Switzerland VS France,4,2,19-Jun
M26,1,Group A,Romania VS Albania,3,1,19-Jun
M27,2,Group B,Slovakia VS England,8,5,20-Jun
M28,2,Group B,Russia VS Wales,6,7,20-Jun
M29,3,Group C,Northern Ireland VS Germany,12,10,21-Jun
M30,3,Group C,Ukraine VS Poland,11,9,21-Jun
M31,4,Group D,Croatia VS Spain,14,13,21-Jun
M32,4,Group D,Czech Republic VS Turkey,16,15,21-Jun
M33,6,Group F,Hungary VS Portugal,24,21,22-Jun
M34,6,Group F,Iceland VS Austria,23,22,22-Jun
M35,5,Group E,Sweden VS Belgium,19,17,22-Jun
M36,5,Group E,Italy VS Republic of Ireland,18,20,22-Jun
